year,month,month_label,uf_code,uf,region,sex,age_group,age,persons_married,opposite_sex_people,same_sex_people
2020,3,Março,52,GO,Central-West,female,16,16,11,11,0
2020,3,Março,52,GO,Central-West,female,17,17,26,26,0
2020,3,Março,52,GO,Central-West,female,18,18,84,84,0
2020,3,Março,52,GO,Central-West,female,19,19,65,65,0
2020,3,Março,52,GO,Central-West,male,15,15,0,0,0
2020,3,Março,52,GO,Central-West,male,16,16,1,1,0
2020,3,Março,52,GO,Central-West,male,17,17,3,3,0
2020,3,Março,52,GO,Central-West,male,18,18,14,14,0
2020,3,Março,52,GO,Central-West,male,19,19,28,28,0
2020,3,Março,53,DF,Central-West,combined,15,15,0,0,0
2020,3,Março,53,DF,Central-West,combined,16,16,2,2,0
2020,3,Março,53,DF,Central-West,combined,17,17,3,3,0
2020,3,Março,53,DF,Central-West,combined,18,18,30,30,0
2020,3,Março,53,DF,Central-West,combined,19,19,42,42,0
2020,3,Março,53,DF,Central-West,female,15,15,0,0,0
2020,3,Março,53,DF,Central-West,female,16,16,2,2,0
2020,3,Março,53,DF,Central-West,female,17,17,2,2,0
2020,3,Março,53,DF,Central-West,female,18,18,23,23,0
2020,3,Março,53,DF,Central-West,female,19,19,32,32,0
2020,3,Março,53,DF,Central-West,male,15,15,0,0,0
2020,3,Março,53,DF,Central-West,male,16,16,0,0,0
2020,3,Março,53,DF,Central-West,male,17,17,1,1,0
2020,3,Março,53,DF,Central-West,male,18,18,7,7,0
2020,3,Março,53,DF,Central-West,male,19,19,10,10,0
2020,4,Abril,11,RO,North,combined,15,15,2,2,0
2020,4,Abril,11,RO,North,combined,16,16,15,15,0
2020,4,Abril,11,RO,North,combined,17,17,6,6,0
2020,4,Abril,11,RO,North,combined,18,18,33,33,0
2020,4,Abril,11,RO,North,combined,19,19,25,25,0
2020,4,Abril,11,RO,North,female,15,15,1,1,0
2020,4,Abril,11,RO,North,female,16,16,14,14,0
2020,4,Abril,11,RO,North,female,17,17,5,5,0
2020,4,Abril,11,RO,North,female,18,18,27,27,0
2020,4,Abril,11,RO,North,female,19,19,16,16,0
