geography_level,geography_value,population,population_se,unweighted_n,year,quarter,population_cv,ci_lower,ci_upper
UF,42,6786702.00000094,81619.8601868126,32795,2014,3,0.0120264393790683,6626730.01361159,6946673.98639029
UF,43,11026945.0000012,148652.365050437,29969,2014,3,0.0134808294636838,10735591.7182856,11318298.2817168
UF,50,2560747.00000077,51993.6513420954,12299,2014,3,0.0203040953839172,2458841.31594553,2662652.68405601
UF,51,3237752.0000028,84187.9407002322,14557,2014,3,0.0260019731900897,3072746.66829775,3402757.33170785
UF,52,6551207.00000272,125255.360726385,19178,2014,3,0.0191194326062866,6305711.00410843,6796702.99589701
UF,53,2772470.00000025,60060.8052749223,9801,2014,3,0.0216632841022326,2654752.98477893,2890187.01522157
region,Central-West,15122176.0000065,170549.567165086,55835,2014,3,0.0112781101850033,14787904.9907841,15456447.009229
region,North,16750910.0000146,186044.516676621,80320,2014,3,0.0111065319243228,16386269.4478073,17115550.5522219
region,Northeast,54833022.000063,398443.077906036,197394,2014,3,0.0072664803684462,54052087.9174779,55613956.0826481
region,South,28832790.0000039,236323.697026904,93573,2014,3,0.00819635203623626,28369604.0651378,29295975.93487
region,Southeast,85019360.0000148,725193.648029523,149292,2014,3,0.00852974720145385,83598006.5680597,86440713.4319699
Brazil,Brazil,200927626.000149,873747.997676056,574987,2014,4,0.00434857075191545,199215111.39314,202640140.607158
UF,11,1646231.00000088,48344.1885747884,9854,2014,4,0.0293665886347436,1551478.13153248,1740983.86846928
UF,12,802007.00000063,21426.6855870738,11659,2014,4,0.0267163323849504,760011.467941902,844002.532059358
UF,13,3671947.00000628,92047.8717382034,16994,2014,4,0.0250678650149488,3491536.48654584,3852357.51346672
UF,14,464295.99999983,12690.885297533,6577,2014,4,0.0273336089424368,439422.321884736,489169.678114924
UF,15,8033368.00001151,141074.398171195,21928,2014,4,0.0175610526208924,7756867.2604553,8309868.73956772
UF,16,732548.00001421,35115.3105223085,4569,2014,4,0.0479358492844529,663723.256084545,801372.743943875
UF,17,1448969.99999977,48144.7492857484,8528,2014,4,0.0332268779103474,1354608.02535499,1543331.97464455
UF,21,6772590.00002997,91233.8939520373,38726,2014,4,0.0134710493255362,6593774.85371463,6951405.14634531
UF,22,3250591.00000067,85751.7754107128,13687,2014,4,0.0263803644970084,3082520.60858531,3418661.39141603
UF,23,8780985.00000683,151020.735742397,30905,2014,4,0.0171986099215839,8484989.79703299,9076980.20298067
UF,24,3307402.00000187,74898.4638801043,12231,2014,4,0.0226457091941234,3160603.70829949,3454200.29170425
UF,25,3899917.00000156,74269.3628551618,15928,2014,4,0.0190438316649129,3754351.72365071,4045482.27635241
UF,26,9124794.00000947,163781.341127046,22477,2014,4,0.0179490453293385,8803788.47006079,9445799.52995815
UF,27,3168504.00000175,49897.0804863544,22902,2014,4,0.0157478357251014,3070707.5193148,3266300.4806887
UF,28,2170803.00000156,45059.1595052968,11839,2014,4,0.020756908621033,2082488.67019753,2259117.32980559
UF,29,14430064.0000054,315398.902243873,28780,2014,4,0.0218570688420894,13811893.5108439,15048234.4891668
UF,31,20392575.0000096,256067.625565203,42033,2014,4,0.0125569049305977,19890691.6762951,20894458.323724
UF,32,3805679.0000025,54242.5799959857,21333,2014,4,0.014253062330257,3699365.49678184,3911992.50322316
UF,33,16926878.0000071,198922.085943137,40095,2014,4,0.0117518473248908,16536997.875829,17316758.1241853
UF,35,44029653.0000168,595880.855744438,44320,2014,4,0.0135336259802958,42861747.9836808,45197558.0163528
UF,41,11042399.0000046,160562.324224305,30700,2014,4,0.0145405291209127,10727702.6272509,11357095.3727583
UF,42,6816448.00000419,78499.3378232629,33448,2014,4,0.0115161646979797,6662592.12506035,6970303.87494803
UF,43,11036215.0000042,148382.716902531,30181,2014,4,0.0134450730528967,10745390.2189471,11327039.7810614
UF,50,2568743.00000063,54111.8363331592,12117,2014,4,0.0210654924736129,2462685.74965031,2674800.25035095
UF,51,3250758.00000381,88789.657161667,14417,2014,4,0.0273135241570006,3076733.46976728,3424782.53024034
UF,52,6573533.00000347,125616.115913114,19111,2014,4,0.0191093763297526,6327329.93693596,6819736.06307098
UF,53,2779728.00000027,66436.5407954766,9648,2014,4,0.023900374711292,2649514.77278371,2909941.22721683
region,Central-West,15172762.0000082,176082.130212577,55293,2014,4,0.011605146789522,14827647.3664704,15517876.6335459
region,North,16799367.0000331,186770.234303008,80109,2014,4,0.0111176947502034,16433304.0674151,17165429.9326511
region,Northeast,54905650.000059,424771.483153973,197475,2014,4,0.00773638929970807,54073113.1914176,55738186.8087005
region,South,28895062.000013,232292.566980474,94329,2014,4,0.00803917870051187,28439776.9348549,29350347.0651711
region,Southeast,85154785.000036,680556.29955641,147781,2014,4,0.00799199128453113,83820919.1634536,86488650.8366184
Brazil,Brazil,201292586.000284,888227.977770402,572982,2015,1,0.00441262142545652,199551691.153793,203033480.846775
UF,11,1649568.00000136,47761.3541552052,9824,2015,1,0.0289538558914611,1555957.4660043,1743178.53399842
UF,12,804368.00000077,22309.2416908379,11391,2015,1,0.0277351183672356,760642.689764328,848093.310237212
UF,13,3685762.00000676,87312.0851015051,16947,2015,1,0.0236890187433005,3514633.45779271,3856890.54222081
UF,14,467628.99999989,14845.006512676,6560,2015,1,0.0317452649700499,438533.321884783,496724.678114998
UF,15,8052532.00001427,142462.036660207,21794,2015,1,0.0176915828040117,7773311.53899604,8331752.4610325
