year,geography_level,geography_value,age,sex,sex_code,population,population_se,unweighted_n,population_cv,ci_lower,ci_upper,precision_pass,fixed_denominator_simplification
2013,region,Central-West,19,combined,,259226.51870449,10765.6795216426,770,0.0415300084861886,238126.17457297,280326.86283601,TRUE,TRUE
2013,region,Central-West,14,female,2,125439.41010107,7240.5179716824,386,0.0577212374153268,111248.255647158,139630.564554983,TRUE,TRUE
2013,region,Central-West,15,female,2,119805.21115197,7371.58196281769,367,0.0615297272292023,105357.175995762,134253.246308178,TRUE,TRUE
2013,region,Central-West,16,female,2,133450.36073267,7330.36745650078,409,0.0549295439611819,119083.104524484,147817.616940856,TRUE,TRUE
2013,region,Central-West,17,female,2,135390.69139395,8190.67004540549,396,0.0604965523188952,119337.273095704,151444.109692196,TRUE,TRUE
2013,region,Central-West,18,female,2,128748.92613564,7596.0571691518,378,0.058998994377236,113860.927659595,143636.924611685,TRUE,TRUE
2013,region,Central-West,19,female,2,136723.64410734,7700.14440053448,392,0.0563190401397522,121631.638406535,151815.649808145,TRUE,TRUE
2013,region,Central-West,14,male,1,124408.84579447,6959.552486567,383,0.055940977847062,110768.373572283,138049.318016658,TRUE,TRUE
2013,region,Central-West,15,male,1,122595.65728266,6964.59262208078,385,0.0568094561948717,108945.306576388,136246.007988932,TRUE,TRUE
2013,region,Central-West,16,male,1,125956.77547854,7309.46976602079,404,0.0580315726426813,111630.477991055,140283.072966025,TRUE,TRUE
2013,region,Central-West,17,male,1,138778.388902,7297.43403035502,431,0.0525833603350748,124475.681022947,153081.096781053,TRUE,TRUE
2013,region,Central-West,18,male,1,126794.03678847,7288.31750456684,383,0.0574815479431885,112509.196971626,141078.876605314,TRUE,TRUE
2013,region,Central-West,19,male,1,122502.87459715,6790.20482975436,378,0.0554289428071293,109194.317683182,135811.431511119,TRUE,TRUE
