year,uf_code,uf,region,sex,age_group,age,persons_married,opposite_sex_people,same_sex_people
2013,51,MT,Central-West,female,18,18,783,783,0
2013,51,MT,Central-West,female,19,19,738,738,0
2013,51,MT,Central-West,female,<15,,1,1,0
2013,51,MT,Central-West,female,unknown,,1,1,0
2013,51,MT,Central-West,male,15,15,4,4,0
2013,51,MT,Central-West,male,16,16,17,15,2
2013,51,MT,Central-West,male,17,17,52,52,0
2013,51,MT,Central-West,male,18,18,203,203,0
2013,51,MT,Central-West,male,19,19,334,332,2
2013,51,MT,Central-West,male,<15,,1,1,0
2013,51,MT,Central-West,male,unknown,,2,2,0
2013,52,GO,Central-West,combined,15,15,38,38,0
2013,52,GO,Central-West,combined,16,16,1055,1055,0
2013,52,GO,Central-West,combined,17,17,1405,1405,0
2013,52,GO,Central-West,combined,18,18,2527,2526,1
2013,52,GO,Central-West,combined,19,19,2843,2842,1
2013,52,GO,Central-West,combined,<15,,18,18,0
2013,52,GO,Central-West,combined,unknown,,64,64,0
2013,52,GO,Central-West,female,15,15,33,33,0
2013,52,GO,Central-West,female,16,16,1028,1028,0
2013,52,GO,Central-West,female,17,17,1287,1287,0
2013,52,GO,Central-West,female,18,18,2009,2009,0
2013,52,GO,Central-West,female,19,19,1947,1947,0
2013,52,GO,Central-West,female,<15,,15,15,0
2013,52,GO,Central-West,female,unknown,,32,32,0
2013,52,GO,Central-West,male,15,15,5,5,0
2013,52,GO,Central-West,male,16,16,27,27,0
2013,52,GO,Central-West,male,17,17,118,118,0
2013,52,GO,Central-West,male,18,18,518,517,1
2013,52,GO,Central-West,male,19,19,896,895,1
2013,52,GO,Central-West,male,<15,,3,3,0
2013,52,GO,Central-West,male,unknown,,32,32,0
2013,53,DF,Central-West,combined,15,15,2,2,0
2013,53,DF,Central-West,combined,16,16,145,145,0
2013,53,DF,Central-West,combined,17,17,242,242,0
2013,53,DF,Central-West,combined,18,18,659,659,0
2013,53,DF,Central-West,combined,19,19,881,880,1
2013,53,DF,Central-West,combined,<15,,0,0,0
2013,53,DF,Central-West,combined,unknown,,10,10,0
2013,53,DF,Central-West,female,15,15,2,2,0
2013,53,DF,Central-West,female,16,16,142,142,0
2013,53,DF,Central-West,female,17,17,219,219,0
2013,53,DF,Central-West,female,18,18,540,540,0
2013,53,DF,Central-West,female,19,19,619,619,0
2013,53,DF,Central-West,female,<15,,0,0,0
