year,uf_code,uf,region,variable_code,composition,first_below_15,first_below_16,second_below_15,second_below_16,both_below_15,both_below_16,total_marriages,marriages_at_least_one_below_15,affected_marriages_below_16,share_at_least_one_below_15,affected_share_below_16
2014,15,PA,North,221,opposite_sex,0,4,10,31,0,0,32353,10,35,0.00030909034710846,0.00108181621487961
2014,16,AP,North,all,all,0,0,0,0,0,0,2131,0,0,0,0
2014,16,AP,North,4374,female_same_sex,0,0,0,0,0,0,6,0,0,0,0
2014,16,AP,North,4373,male_same_sex,0,0,0,0,0,0,18,0,0,0,0
2014,16,AP,North,221,opposite_sex,0,0,0,0,0,0,2107,0,0,0,0
2014,17,TO,North,all,all,1,2,1,6,0,0,7340,2,8,0.000272479564032698,0.00108991825613079
2014,17,TO,North,4374,female_same_sex,0,0,0,0,0,0,1,0,0,0,0
2014,17,TO,North,4373,male_same_sex,0,0,0,0,0,0,10,0,0,0,0
2014,17,TO,North,221,opposite_sex,1,2,1,6,0,0,7329,2,8,0.000272888525037522,0.00109155410015009
2014,21,MA,Northeast,all,all,2,10,12,51,0,4,23851,14,57,0.000586977485220745,0.00238983690411304
2014,21,MA,Northeast,4374,female_same_sex,0,0,0,0,0,0,25,0,0,0,0
2014,21,MA,Northeast,4373,male_same_sex,0,0,0,1,0,0,45,0,1,0,0.0222222222222222
2014,21,MA,Northeast,221,opposite_sex,2,10,12,50,0,4,23781,14,56,0.000588705268912157,0.00235482107564863
2014,22,PI,Northeast,all,all,0,2,8,32,0,0,12266,8,34,0.000652209359204305,0.00277188977661829
2014,22,PI,Northeast,4374,female_same_sex,0,0,0,0,0,0,13,0,0,0,0
2014,22,PI,Northeast,4373,male_same_sex,0,0,0,0,0,0,1,0,0,0,0
2014,22,PI,Northeast,221,opposite_sex,0,2,8,32,0,0,12252,8,34,0.000652954619653934,0.00277505713352922
2014,23,CE,Northeast,all,all,3,8,4,33,1,1,48371,6,40,0.000124041264393955,0.000826941762626367
2014,23,CE,Northeast,4374,female_same_sex,0,0,0,0,0,0,60,0,0,0,0
2014,23,CE,Northeast,4373,male_same_sex,0,0,0,0,0,0,102,0,0,0,0
2014,23,CE,Northeast,221,opposite_sex,3,8,4,33,1,1,48209,6,40,0.000124458088738617,0.000829720591590782
2014,24,RN,Northeast,all,all,1,5,2,6,0,0,15434,3,11,0.000194376052870286,0.000712712193857717
2014,24,RN,Northeast,4374,female_same_sex,0,0,0,0,0,0,27,0,0,0,0
2014,24,RN,Northeast,4373,male_same_sex,0,0,0,0,0,0,20,0,0,0,0
2014,24,RN,Northeast,221,opposite_sex,1,5,2,6,0,0,15387,3,11,0.000194969779684149,0.000714889192175213
2014,25,PB,Northeast,all,all,0,0,6,20,0,0,20537,6,20,0.000292155621561085,0.000973852071870283
2014,25,PB,Northeast,4374,female_same_sex,0,0,0,0,0,0,15,0,0,0,0
2014,25,PB,Northeast,4373,male_same_sex,0,0,0,0,0,0,16,0,0,0,0
2014,25,PB,Northeast,221,opposite_sex,0,0,6,20,0,0,20506,6,20,0.000292597288598459,0.000975324295328197
2014,26,PE,Northeast,all,all,3,12,6,32,0,0,52846,9,44,0.000170306172652613,0.000832607955190554
2014,26,PE,Northeast,4374,female_same_sex,0,0,0,0,0,0,56,0,0,0,0
2014,26,PE,Northeast,4373,male_same_sex,0,0,0,0,0,0,121,0,0,0,0
2014,26,PE,Northeast,221,opposite_sex,3,12,6,32,0,0,52669,9,44,0.000170878505382673,0.00083540602631529
2014,27,AL,Northeast,all,all,1,2,25,66,0,0,17550,26,68,0.00148148148148148,0.00387464387464388
2014,27,AL,Northeast,4374,female_same_sex,0,0,0,0,0,0,15,0,0,0,0
2014,27,AL,Northeast,4373,male_same_sex,0,0,0,0,0,0,3,0,0,0,0
