year,quarter,quarter_start,days_in_quarter,geography,age,side,sex,population_stock,population_stock_se,unweighted_n,population_cv,exact_age_day_stock,exact_age_day_stock_se,population_person_time,population_person_time_se,denominator_source,approximation
2017,1,2017-01-01,90,Brazil,16,above,male,1766493.66413587,37133.022485015,5465,0.0210207504498351,4836.4953808384,101.666762452384,435284.584275456,9150.00862071459,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,2,2017-04-01,91,Brazil,15,below,combined,3250666.14759861,51276.9736933198,9585,0.0157742971332815,8900.02162289057,140.391585572106,809901.967683042,12775.6342870616,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,2,2017-04-01,91,Brazil,16,above,combined,3388048.76098728,50413.6991315571,10065,0.0148798623302182,9276.16244272581,138.028020100501,844130.782288048,12560.5498291456,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,2,2017-04-01,91,Brazil,15,below,female,1594946.13379181,34584.9193192143,4646,0.0216840673089018,4366.81419547783,94.690292940209,397380.091788482,8616.81665755902,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,2,2017-04-01,91,Brazil,16,above,female,1663922.51548099,35754.136704595,4835,0.0214878615872684,4555.66511422135,97.8915014123356,414565.525394143,8908.12662852254,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,2,2017-04-01,91,Brazil,15,below,male,1655720.0138068,37485.3649970959,4939,0.0226399177907564,4533.20742741275,102.631443485071,412521.87589456,9339.46135714143,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,2,2017-04-01,91,Brazil,16,above,male,1724126.24550629,35119.8618855892,5230,0.0203696579511648,4720.49732850446,96.1549159410233,429565.256893906,8750.09735063312,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,3,2017-07-01,92,Brazil,15,below,combined,3257370.06115559,49210.9226161468,9471,0.015107562755301,8918.37631479248,134.734929851118,820490.620960908,12395.6135463028,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,3,2017-07-01,92,Brazil,16,above,combined,3285058.67938397,54375.2798615899,9753,0.0165523009384376,8994.18517665379,148.874459740008,827465.036252148,13696.4502960807,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,3,2017-07-01,92,Brazil,15,below,female,1590867.23237604,33426.7386528827,4614,0.0210116457065737,4355.64654271077,91.5193019785011,400719.481929391,8419.7757820221,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
