year,geography_level,geography_value,sex,population,population_se,population_cv,ci_lower,ci_upper,unweighted_n
2017,UF,31,male,10178655.0267108,156886.335651681,0.0154132677883257,9871163.45916701,10486146.5942545,16705
2017,UF,32,combined,3900227.99999948,92339.6469295636,0.0236754484429054,3719245.61767239,4081210.38232657,17111
2017,UF,32,female,1970235.27143928,45278.4081919983,0.022981218968292,1881491.22210566,2058979.3207729,8719
2017,UF,32,male,1929992.7285602,50088.938829158,0.0259529158260223,1831820.21243122,2028165.24468918,8392
2017,UF,33,combined,17099853.9999993,249353.755426073,0.0145822154637159,16611129.6199543,17588578.3800442,31108
2017,UF,33,female,8879861.00654775,140769.574557185,0.0158526776999533,8603957.71029664,9155764.30279886,16325
2017,UF,33,male,8219992.9934515,123654.263818223,0.015043110610524,7977635.08983297,8462350.89707003,14783
2017,UF,35,combined,44803690,694860.755524126,0.0155090073055172,43441787.9449024,46165592.0550976,35519
2017,UF,35,female,23083266.8878613,367793.15014468,0.015933323126723,22362405.5598172,23804128.2159054,18246
2017,UF,35,male,21720423.1121388,357326.704503327,0.016451185258156,21020075.6405978,22420770.5836797,17273
2017,UF,41,combined,11271143.000001,233219.135617462,0.020691702307161,10814041.8936852,11728244.1063168,24076
2017,UF,41,female,5694818.17968056,119192.174102799,0.0209299349587812,5461205.81120005,5928430.54816107,12199
2017,UF,41,male,5576324.82032044,121006.820688083,0.0217001025921458,5339155.8098881,5813493.83075278,11877
2017,UF,42,combined,7123009.00000237,118477.889965781,0.0166331237214135,6890796.60270514,7355221.3972996,27215
2017,UF,42,female,3578975.12380904,61859.1048068448,0.017284027596428,3457733.50627174,3700216.74134634,13742
2017,UF,42,male,3544033.87619333,61844.576812897,0.0174503345547376,3422820.73300093,3665247.01938573,13473
2017,UF,43,combined,11123601.0000003,193549.905426583,0.0173999323983823,10744250.1561531,11502951.8438475,23356
2017,UF,43,female,5723128.74515791,104350.85461713,0.018233183152732,5518604.82835236,5927652.66196346,12066
2017,UF,43,male,5400472.25484239,98198.1327424982,0.0181832491879664,5208007.45131801,5592937.05836677,11290
2017,UF,50,combined,2647188.00000017,75659.5228620576,0.0285810916572804,2498898.06010305,2795477.93989729,9743
2017,UF,50,female,1355152.80060684,39661.9276793836,0.0292674948991899,1277416.85079782,1432888.75041586,4977
2017,UF,50,male,1292035.19939333,38577.1433694084,0.0298576566548049,1216425.38776285,1367645.01102381,4766
2017,UF,51,combined,3385893.00000415,90305.1562425443,0.0266710011930187,3208898.1461505,3562887.8538578,11811
2017,UF,51,female,1698132.55163713,46572.9713615528,0.0274259929336216,1606851.20511547,1789413.89815879,5917
2017,UF,51,male,1687760.44836702,47471.0217392342,0.0281266347870425,1594718.9554488,1780801.94128524,5894
2017,UF,52,combined,6805158.0000359,167178.770542892,0.0245664789181985,6477493.63079215,7132822.36927965,15459
2017,UF,52,female,3450791.11604902,86776.4552592154,0.0251468293330284,3280712.38903491,3620869.84306313,7875
2017,UF,52,male,3354366.88398688,88638.4387260049,0.0264247894734318,3180638.73643805,3528095.03153571,7584
2017,UF,53,combined,2850314.00000049,107679.516485617,0.0377781242647647,2639266.02581599,3061361.97418499,7898
2017,UF,53,female,1489346.13113278,57540.2781233082,0.038634590657273,1376569.25835068,1602123.00391488,4159
2017,UF,53,male,1360967.86886771,53887.793723141,0.0395951990901697,1255349.73396403,1466586.00377139,3739
2018,UF,11,combined,1689862.99999985,65820.9045310814,0.0389504383083642,1560856.39768908,1818869.60231062,7775
2018,UF,11,female,837407.6790088,34835.8442039373,0.0415996235491545,769130.678998035,905684.679019565,3859
2018,UF,11,male,852455.32099105,32800.8821660029,0.0384781247278381,788166.773284542,916743.868697558,3916
2018,UF,12,combined,832608.00000098,23354.2694237811,0.0280495376260541,786834.473045124,878381.526956836,8747
2018,UF,12,female,416436.49890884,12564.4254247273,0.0301712877176928,391810.677589935,441062.320227745,4390
2018,UF,12,male,416171.50109214,12238.0294222563,0.029406216884483,392185.404182776,440157.598001504,4357
