year,uf_code,uf,region,variable_code,composition,total_marriages
2018,25,PB,Northeast,4373,male_same_sex,41
2018,25,PB,Northeast,221,opposite_sex,16022
2018,26,PE,Northeast,all,all,49454
2018,26,PE,Northeast,4374,female_same_sex,260
2018,26,PE,Northeast,4373,male_same_sex,131
2018,26,PE,Northeast,221,opposite_sex,49063
2018,27,AL,Northeast,all,all,15096
2018,27,AL,Northeast,4374,female_same_sex,56
2018,27,AL,Northeast,4373,male_same_sex,39
2018,27,AL,Northeast,221,opposite_sex,15001
2018,28,SE,Northeast,all,all,7623
2018,28,SE,Northeast,4374,female_same_sex,23
2018,28,SE,Northeast,4373,male_same_sex,20
2018,28,SE,Northeast,221,opposite_sex,7580
2018,29,BA,Northeast,all,all,68623
2018,29,BA,Northeast,4374,female_same_sex,170
2018,29,BA,Northeast,4373,male_same_sex,118
2018,29,BA,Northeast,221,opposite_sex,68335
2018,31,MG,Southeast,all,all,107025
2018,31,MG,Southeast,4374,female_same_sex,412
2018,31,MG,Southeast,4373,male_same_sex,325
2018,31,MG,Southeast,221,opposite_sex,106288
2018,32,ES,Southeast,all,all,24749
2018,32,ES,Southeast,4374,female_same_sex,63
2018,32,ES,Southeast,4373,male_same_sex,66
2018,32,ES,Southeast,221,opposite_sex,24620
