year,quarter,geography_value,age,sex,persons_married,opposite_sex_people,same_sex_people,population,population_se,population_cv,unweighted_n,precision_pass,geography_level,geography,formal_marriage_rate_100k,offset_log_population,fixed_denominator_simplification,period,period_index,trend_2018q4,calendar_quarter,treated_age,partial_2019q1,post_full,pandemic,short_run_clean,full_dynamic,exclude_pandemic,post_pandemic,event_time,denominator_only_rate_se,denominator_only_ci_lower,denominator_only_ci_upper
2017,1,Brazil,19,male,3624,3615,9,1583284.0946653,32289.0113925815,0.0203936940321549,4839,TRUE,Brazil,Brazil,228.891328613144,14.275011788753,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,4.66793972234988,219.742334875334,238.040322350954
2017,2,Brazil,15,combined,88,88,0,3250666.14759861,51276.9736933198,0.0157742971332815,9585,TRUE,Brazil,Brazil,2.70713742981601,14.9943705017946,TRUE,2017Q2,18,-6,2,1,0,0,0,1,1,1,0,-7,0.0427031901985456,2.6234407150019,2.79083414463012
2017,2,Brazil,16,combined,2926,2923,3,3388048.76098728,50413.6991315571,0.0148798623302182,10065,TRUE,Brazil,Brazil,86.362393413351,15.0357647269136,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,1.28506052449881,83.8437210673792,88.8810657593228
2017,2,Brazil,17,combined,4109,4106,3,3454354.92994415,48486.8025420315,0.0140364275024904,10149,TRUE,Brazil,Brazil,118.951297227191,15.0551462915131,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,1.66965125985666,115.67884089113,122.223753563252
2017,2,Brazil,18,combined,8897,8883,14,3382952.95960608,52184.7525456533,0.0154257990485714,9742,TRUE,Brazil,Brazil,262.995084656335,15.0342595427315,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,4.05690932667065,255.043688487516,270.946480825154
2017,2,Brazil,19,combined,11774,11753,21,3302295.40900825,51073.1026230756,0.0154659399894251,9368,TRUE,Brazil,Brazil,356.539877319334,15.0101283631215,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,5.51422434645781,345.732196197603,367.347558441065
2017,2,Brazil,15,female,82,82,0,1594946.13379181,34584.9193192143,0.0216840673089018,4646,TRUE,Brazil,Brazil,5.14123946023519,14.2823505217134,TRUE,2017Q2,18,-6,2,1,0,0,0,1,1,1,0,-7,0.111482982506922,4.92273682963251,5.35974209083787
2017,2,Brazil,16,female,2798,2796,2,1663922.51548099,35754.136704595,0.0214878615872684,4835,TRUE,Brazil,Brazil,168.156868722411,14.3246883340633,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,3.61333152005563,161.074869078899,175.238868365923
2017,2,Brazil,17,female,3660,3659,1,1702495.43160999,34199.3097299826,0.0200877541842456,4917,TRUE,Brazil,Brazil,214.978550429288,14.3476056336601,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,4.31843627590898,206.514570858975,223.442529999601
2017,2,Brazil,18,female,7137,7127,10,1651654.69109633,34882.7096081009,0.0211198562242732,4664,TRUE,Brazil,Brazil,432.112113898494,14.3172881864543,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,9.12614571830297,414.225196972956,449.999030824032
