year,quarter,period,trend_2018q4,post_full,partial_2019q1,pandemic,prevalence15,se15,population15,unweighted_n15,cases15,control_prevalence,control_variance_independence,control_population,control_unweighted_n,control_cases,prevalence_gap,gap_design_se_independence,quarter_factor,counterfactual_gap,dynamic_effect,bootstrap_se,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper
2018,2,2018Q2,-2,0,0,0,0.00690206239835655,0.000999509616037162,3201501.01184995,8962,79,0.0627114229224234,4.54435219496547e-06,10081360.4013581,27805,1766,-0.0558093605240668,0.00235443659237539,2,-0.0589197798042974,0.00311041928023054,0.00310075317756056,-0.00279504600564966,0.0090720574779579,-0.00683104469512131,0.0130518832555824
2018,3,2018Q3,-1,0,0,0,0.00576392535508229,0.00088825014625024,3155597.32206496,8984,67,0.0618462537976939,4.71538457731807e-06,10029871.8954335,27818,1743,-0.0560823284426116,0.00234614000000674,3,-0.058421609784255,0.00233928134164341,0.00320336460275122,-0.00366964737496258,0.00846590826597902,-0.00793116973089976,0.0126097324141866
2018,4,2018Q4,0,0,0,0,0.00655603935154799,0.00103309617318891,3153676.4899555,8739,72,0.0626205682113181,4.17594688829605e-06,9984489.3978585,27324,1727,-0.0560645288597701,0.0022898110383509,4,-0.0576318050163818,0.00156727615661175,0.00306382377394426,-0.00411113912802785,0.00761001418787071,-0.00825578679980717,0.0113903391130307
2019,1,2019Q1,1,0,1,0,0.00726549858187798,0.0010367530449243,3096362.46517374,8652,78,0.0641590069215493,4.35619821722162e-06,9926256.76438384,27013,1750,-0.0568935083396713,0.00233046242050402,1,-0.057096409755882,0.000202901416210668,0.0047399516895707,-0.00895270873338177,0.00928335554868751,-0.0149940705026724,0.0153998733350937
2019,2,2019Q2,2,1,0,0,0.00706661851649937,0.00106503321783019,3144477.64939739,8664,69,0.0608922809664801,4.29297239606189e-06,9890229.71447446,26897,1659,-0.0538256624499807,0.0023296497915231,2,-0.0575680493426731,0.00374238689269241,0.00475117037458619,-0.00571498333641298,0.0135685572671126,-0.0114905537558978,0.0189753275412826
2019,3,2019Q3,3,1,0,0,0.00499174654029769,0.000801699464129516,3085984.62176554,8739,57,0.060595951050988,5.30356661675897e-06,9821980.8144476,26736,1610,-0.0556042045106903,0.00243850131177831,3,-0.0570698793226308,0.00146567481194054,0.00490569417491614,-0.00803258830215796,0.0117624845280211,-0.0142626915304559,0.0171940411543369
2019,4,2019Q4,4,1,0,0,0.00593833128216493,0.00104413215615235,3124525.19247724,8690,60,0.0607422988364619,5.36348720055589e-06,9705545.86700344,25908,1525,-0.0548039675542969,0.00254041318687871,4,-0.0562800745547576,0.00147610700046067,0.00501102088110418,-0.00852513459955213,0.010871165916819,-0.0145899520234392,0.0175421660243606
2020,1,2020Q1,5,1,0,1,0.00570584684286118,0.00101021517535443,2989764.12455469,7629,54,0.0592445203472751,5.69279802987531e-06,9720194.34696287,22931,1336,-0.0535386735044139,0.00259100998268854,1,-0.0557446792942578,0.00220600578984385,0.00541603506949036,-0.00851869375705009,0.0126288873198842,-0.0151585874071356,0.0195705989868233
2020,2,2020Q2,6,1,0,1,0.00472288680632398,0.0014481686036549,3009231.20968084,5616,28,0.0493951387180847,6.46273096607278e-06,9595357.98848279,17038,793,-0.0446722519117608,0.00292573465486612,2,-0.0562163188810489,0.0115440669692882,0.00536589113450853,0.00133467098335866,0.0220472803454818,-0.005659757506462,0.0287478914450383
2020,3,2020Q3,7,1,0,1,0.00350865981724742,0.000920711101047289,3167232.95759065,5733,26,0.0443108849626131,6.75089907168416e-06,9410119.60582744,16821,704,-0.0408022251453657,0.00275655727371587,3,-0.0557181488610066,0.0149159237156409,0.00524439373994594,0.00497913814080606,0.0259698090334283,-0.00189836250860184,0.0317302099398836
2020,4,2020Q4,8,1,0,1,0.0028689288976874,0.000736882043607919,3147717.85447503,5273,24,0.0402814346243157,5.88199293123597e-06,9286046.69411385,15021,569,-0.0374125057266283,0.0025347560193099,4,-0.0549283440931334,0.0175158383665051,0.00511676794486302,0.00733715843629606,0.0274956632662496,0.00111073893382142,0.0339209377991887
