specification_id,estimate,std_error,statistic,p_value,ci_lower,ci_upper,outcome,sex,controls,window,age_specific_trends,geography_level,geography_value,effect_percentage_points,ci_lower_percentage_points,ci_upper_percentage_points,observations,periods,unweighted_people,unweighted_union_cases,zero_case_cells,dropped_observations,variance_weight_winsorization
PNADC-CELL-049,0.00251833847428142,0.00209966386368102,1.19940077925921,0.230372144743591,-0.00159692707817359,0.00663360402673643,union_conservative,combined,16-17,short_run_clean,TRUE,Brazil,Brazil,0.251833847428142,-0.159692707817359,0.663360402673643,81,27,807601,18675,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-050,0.00242383756953423,0.00197267456194894,1.2287062530677,0.21918196088744,-0.00144253352510401,0.00629020866417247,union_conservative,combined,16-17,short_run_clean,FALSE,Brazil,Brazil,0.242383756953423,-0.144253352510401,0.629020866417247,81,27,807601,18675,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-051,0.00337636294847999,0.00358824055947063,0.940952227845645,0.346729341068586,-0.00365645931594829,0.0104091852129083,union_conservative,female,16-17,short_run_clean,TRUE,Brazil,Brazil,0.337636294847999,-0.365645931594829,1.04091852129083,81,27,389990,16772,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-052,0.00311964285031902,0.00338898867787798,0.920523243610358,0.357299392268549,-0.00352265290233584,0.00976193860297388,union_conservative,female,16-17,short_run_clean,FALSE,Brazil,Brazil,0.311964285031902,-0.352265290233584,0.976193860297388,81,27,389990,16772,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-053,0.00130751429977851,0.000545409333656784,2.39730825839021,0.0165160225423947,0.000238531648979223,0.0023764969505778,union_conservative,male,16-17,short_run_clean,TRUE,Brazil,Brazil,0.130751429977851,0.0238531648979223,0.23764969505778,81,27,417611,1903,1,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-054,0.00176511721673905,0.000369988652442771,4.77073338624102,1.83556367856526e-06,0.00103995278326271,0.00249028165021539,union_conservative,male,16-17,short_run_clean,FALSE,Brazil,Brazil,0.176511721673905,0.103995278326271,0.249028165021539,81,27,417611,1903,1,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-055,0.0036683579159383,0.00135511319428238,2.70704907266505,0.00678842221209575,0.0010123848601698,0.0063243309717068,union_conservative,combined,16-17,full_dynamic,TRUE,Brazil,Brazil,0.36683579159383,0.10123848601698,0.63243309717068,141,47,1207013,24977,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-056,0.00468601897749471,0.000594869061608911,7.87739568237199,3.34275055649973e-15,0.00352009704122411,0.00585194091376532,union_conservative,combined,16-17,full_dynamic,FALSE,Brazil,Brazil,0.468601897749471,0.352009704122411,0.585194091376532,141,47,1207013,24977,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-057,0.00507544871729992,0.00230829007987626,2.19879154771223,0.0278927477851707,0.000551283294871357,0.00959961413972848,union_conservative,female,16-17,full_dynamic,TRUE,Brazil,Brazil,0.507544871729992,0.0551283294871357,0.959961413972848,141,47,582238,22498,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-058,0.00720261461690716,0.00113663421682558,6.33679200422348,2.34598347532854e-10,0.00497485248833313,0.00943037674548119,union_conservative,female,16-17,full_dynamic,FALSE,Brazil,Brazil,0.720261461690716,0.497485248833313,0.943037674548119,141,47,582238,22498,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-059,0.002495400498139,0.000364486163976665,6.84635178167904,7.57570573978154e-12,0.00178102074388157,0.00320978025239642,union_conservative,male,16-17,full_dynamic,TRUE,Brazil,Brazil,0.2495400498139,0.178102074388157,0.320978025239642,141,47,624775,2479,5,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-060,0.00216184695480437,0.000167250576962585,12.9257966941902,3.21944428735325e-38,0.00183404184756416,0.00248965206204458,union_conservative,male,16-17,full_dynamic,FALSE,Brazil,Brazil,0.216184695480437,0.183404184756416,0.248965206204458,141,47,624775,2479,5,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-061,0.00274437322295556,0.00167952078192883,1.63402159263776,0.102254316773847,-0.000547427020911495,0.00603617346682262,union_conservative,combined,16-17,exclude_pandemic,TRUE,Brazil,Brazil,0.274437322295556,-0.0547427020911495,0.603617346682262,117,39,1062196,22868,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-062,0.00434469842495365,0.000662339978744897,6.55961977893385,5.39451478356166e-11,0.00304653592109263,0.00564286092881468,union_conservative,combined,16-17,exclude_pandemic,FALSE,Brazil,Brazil,0.434469842495365,0.304653592109263,0.564286092881468,117,39,1062196,22868,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-063,0.00423342497050684,0.00293338325733172,1.44318849571592,0.148967379380775,-0.00151590056671612,0.0099827505077298,union_conservative,female,16-17,exclude_pandemic,TRUE,Brazil,Brazil,0.423342497050684,-0.151590056671612,0.99827505077298,117,39,512534,20551,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-064,0.00696780444694142,0.00129468640320698,5.38184724090866,7.3725318969079e-08,0.00443026572538205,0.00950534316850079,union_conservative,female,16-17,exclude_pandemic,FALSE,Brazil,Brazil,0.696780444694142,0.443026572538205,0.950534316850079,117,39,512534,20551,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-065,0.00135305793566548,0.000498606490732079,2.71367894485059,0.00665406197293623,0.000375807171372705,0.00233030869995826,union_conservative,male,16-17,exclude_pandemic,TRUE,Brazil,Brazil,0.135305793566548,0.0375807171372705,0.233030869995826,117,39,549662,2317,3,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-066,0.00177015712377528,0.000197511683619596,8.96229069255754,3.18002209439606e-19,0.001383041337355,0.00215727291019556,union_conservative,male,16-17,exclude_pandemic,FALSE,Brazil,Brazil,0.177015712377528,0.1383041337355,0.215727291019556,117,39,549662,2317,3,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-067,0.00443694968840721,0.00136205826127682,3.25753296650316,0.00112385203480318,0.0017673645514594,0.00710653482535501,union_conservative,combined,16-17,post_pandemic,TRUE,Brazil,Brazil,0.443694968840721,0.17673645514594,0.710653482535501,108,36,984029,21344,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-068,0.00480995512569641,0.000583539634032589,8.24272225085535,1.68336033412168e-16,0.00366623845944085,0.00595367179195196,union_conservative,combined,16-17,post_pandemic,FALSE,Brazil,Brazil,0.480995512569641,0.366623845944085,0.595367179195196,108,36,984029,21344,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-069,0.00779603343521035,0.00255593407413877,3.05017000011522,0.00228711867781425,0.00278649470303963,0.0128055721673811,union_conservative,female,16-17,post_pandemic,TRUE,Brazil,Brazil,0.779603343521035,0.278649470303963,1.28055721673811,108,36,475000,19150,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-070,0.00793233039987931,0.0011739576156184,6.75691378832347,1.40962007338061e-11,0.00563141575389073,0.0102332450458679,union_conservative,female,16-17,post_pandemic,FALSE,Brazil,Brazil,0.793233039987931,0.563141575389073,1.02332450458679,108,36,475000,19150,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-071,0.000759789788378865,0.000715744960820951,1.06153704178007,0.288445908276217,-0.00064304455694623,0.00216262413370396,union_conservative,male,16-17,post_pandemic,TRUE,Brazil,Brazil,0.0759789788378865,-0.064304455694623,0.216262413370396,108,36,509029,2194,2,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-072,0.00166999008101116,0.000205063046796336,8.14378849383697,3.83098184654425e-16,0.00126807389473028,0.00207190626729203,union_conservative,male,16-17,post_pandemic,FALSE,Brazil,Brazil,0.166999008101115,0.126807389473028,0.207190626729203,108,36,509029,2194,2,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-073,0.00515731506002711,0.00255057635645203,2.02201947296382,0.0431743401727424,0.000158277261561738,0.0101563528584925,union_expanded,combined,17-18-19,short_run_clean,TRUE,Brazil,Brazil,0.515731506002711,0.0158277261561738,1.01563528584925,108,27,1058334,107855,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-074,0.0108365723066675,0.0018166428160721,5.96516398864697,2.44388471080986e-09,0.00727601781439276,0.0143971267989422,union_expanded,combined,17-18-19,short_run_clean,FALSE,Brazil,Brazil,1.08365723066675,0.727601781439276,1.43971267989422,108,27,1058334,107855,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-075,0.00284841211681399,0.00316958759006117,0.898669633155341,0.368828656486433,-0.003363865405551,0.00906068963917898,union_expanded,female,17-18-19,short_run_clean,TRUE,Brazil,Brazil,0.284841211681399,-0.3363865405551,0.906068963917899,108,27,511205,77974,0,0,"inverse design variance, 5th/95th percentile"
