specification_id,estimate,std_error,statistic,p_value,ci_lower,ci_upper,sex,focal_age,controls,window,age_specific_trends,model,geography,rate_ratio,percent_change,effect_points_per_100k,observations,source_rows,regions_or_geographies,periods,time_clusters,zero_outcome_cells,dropped_observations,collinear_variables
REG-Q-105,0.912286972020552,0.245379396097273,3.71786297680391,0.000200915189546514,0.431352193121709,1.39322175091939,male,15,16-17,short_run_clean,TRUE,PPML,region,2.49001061126701,149.001061126701,,405,405,5,27,27,36,0,""
REG-Q-106,1.17950434191013,0.85219068168472,1.38408500264088,0.166332428527773,-0.490758702152563,2.84976738597282,male,15,16-17,short_run_clean,TRUE,WLS,region,,,1.17950434191013,405,405,5,27,27,36,0,""
REG-Q-107,-0.0272895638199609,0.169279719220323,-0.161209883532727,0.871928097002487,-0.359071716804846,0.304492589164925,male,15,16-17,short_run_clean,FALSE,PPML,region,0.973079432127911,-2.69205678720892,,405,405,5,27,27,36,0,""
REG-Q-108,6.60585165095898,0.96923730932742,6.81551523799983,9.39265169215532e-12,4.70618143220473,8.50552186971323,male,15,16-17,short_run_clean,FALSE,WLS,region,,,6.60585165095898,405,405,5,27,27,36,0,""
REG-Q-109,-0.0716990386490336,0.0777550882786824,-0.922113783628625,0.356469227994844,-0.224096211289984,0.0806981339919164,combined,15,16-17,full_dynamic,TRUE,PPML,region,0.930810991793643,-6.91890082063565,,705,705,5,47,47,11,0,""
REG-Q-110,7.66475659954023,6.58003789936872,1.1648499167878,0.244079749300887,-5.23188070013104,20.5613938992115,combined,15,16-17,full_dynamic,TRUE,WLS,region,,,7.66475659954023,705,705,5,47,47,11,0,""
REG-Q-111,-0.529832687744984,0.0687536940427142,-7.70624320804956,1.29575581742715e-14,-0.66458745187279,-0.395077923617178,combined,15,16-17,full_dynamic,FALSE,PPML,region,0.58870345874213,-41.129654125787,,705,705,5,47,47,11,0,""
REG-Q-112,69.2756297839803,5.80541159016912,11.932940276154,7.97075121448556e-33,57.8972321518174,80.6540274161432,combined,15,16-17,full_dynamic,FALSE,WLS,region,,,69.2756297839803,705,705,5,47,47,11,0,""
REG-Q-113,-0.176643681359947,0.0747879728311486,-2.36192631880479,0.0181802551411072,-0.323225414585759,-0.030061948134136,female,15,16-17,full_dynamic,TRUE,PPML,region,0.838078354266302,-16.1921645733698,,705,705,5,47,47,12,0,""
REG-Q-114,12.8680710849374,12.1815089095294,1.05636101245807,0.290803311027752,-11.0072476550939,36.7433898249687,female,15,16-17,full_dynamic,TRUE,WLS,region,,,12.8680710849374,705,705,5,47,47,12,0,""
REG-Q-115,-0.541555190175601,0.0661400626328913,-8.18800540273887,2.6559090417553e-16,-0.671187330871292,-0.411923049479911,female,15,16-17,full_dynamic,FALSE,PPML,region,0.581842672374129,-41.8157327625871,,705,705,5,47,47,12,0,""
