year,quarter,period,period_index,trend_2018q4,post_full,partial_2019q1,pandemic,rate15,count15,population15,control_count,control_population,control_rate,log_rate_gap,quarter_factor,counterfactual_gap,dynamic_log_effect,bootstrap_se,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,effect_rate_ratio,simultaneous_rate_ratio_lower,simultaneous_rate_ratio_upper
2018,3,2018Q3,23,-1,0,0,0,2.37672910531314,75,3155597.32206496,24465,10029871.8954335,243.92136066203,-4.63112066404386,3,-4.64699747745546,0.0158768134115954,0.0991650916181883,-0.163211499563496,0.208144860686028,-0.291354263257667,0.323107890080857,1.01600351968949,0.747250907580828,1.38141438377546
2018,4,2018Q4,24,0,0,0,0,3.07577522009459,97,3153676.4899555,30999,9984489.3978585,310.471560084472,-4.61453532966632,4,-4.6834094823911,0.0688741527247734,0.0985187328174958,-0.108318694683738,0.27666655402266,-0.236354389514167,0.374102694963714,1.07130138030494,0.78950083353265,1.45368642906672
2019,1,2019Q1,25,1,0,1,0,2.03464551416673,63,3096362.46517374,22361,9926256.76438384,225.271222886687,-4.7069835020946,1,-4.83683680702362,0.129853304929021,0.141261356207602,-0.14094171579182,0.423918101652625,-0.307799480453589,0.567506090311631,1.13866133506698,0.735062697671044,1.76386264747819
2019,2,2019Q2,26,2,1,0,0,1.65369278455407,52,3144477.64939739,21563,9890229.71447446,218.023247411962,-4.88159085815678,2,-4.77562446869325,-0.105966389463523,0.14128529770095,-0.359229883178853,0.191627292538774,-0.543693349847217,0.331760570920171,0.899454878728898,0.580599928902277,1.39341918349664
2019,3,2019Q3,27,3,1,0,0,2.00908324567505,62,3085984.62176554,22314,9821980.8144476,227.184316702974,-4.72808313452017,3,-4.76999886658021,0.041915732060037,0.13884075923159,-0.205447622462106,0.335715431674613,-0.388237613721528,0.472069077841602,1.04280659988418,0.678251162332649,1.60330813296662
2019,4,2019Q4,28,4,1,0,0,2.56038902142994,80,3124525.19247724,26862,9705545.86700344,276.769595116999,-4.68302616503714,4,-4.80641087151584,0.123384706478708,0.143631014578775,-0.120182762071822,0.442153230405381,-0.321609701654747,0.568379114612163,1.13131956320655,0.72498109403923,1.76540321481075
2020,1,2020Q1,29,5,1,0,1,1.27100327707825,38,2989764.12455469,17579,9720194.34696287,180.85029344596,-4.95786301043951,1,-4.95983819614837,0.00197518570886057,0.147364463071957,-0.26177376365988,0.308384571094781,-0.454586109335423,0.458536480753144,1.00197713767311,0.634710614389027,1.5817573578567
2020,2,2020Q2,30,6,1,0,1,0.89723913247808,27,3009231.20968084,10391,9595357.98848279,108.291947131855,-4.79326365525686,2,-4.898625857818,0.105362202561144,0.151932800339982,-0.15790742677735,0.419169254898639,-0.365352613188264,0.576077018310552,1.11111298544971,0.693951911135397,1.77904556010956
2020,3,2020Q3,31,7,1,0,1,1.10506554044654,35,3167232.95759065,17968,9410119.60582744,190.943375351711,-5.15207227413319,3,-4.89300025570496,-0.259072018428233,0.142692639717129,-0.513204147350821,0.0350682619729526,-0.701159174479747,0.183015137623281,0.771767439564251,0.496010008278593,1.20083258569455
2020,4,2020Q4,32,8,1,0,1,1.62022145433062,51,3147717.85447503,25728,9286046.69411385,277.060851054176,-5.14167432085165,4,-4.92941226064059,-0.212262060211055,0.149171390842651,-0.483379084640086,0.0998901814941807,-0.674421538601867,0.249897418179757,0.808752727882743,0.509451033145258,1.28389370577895
2021,1,2021Q1,33,9,1,0,1,0.979854190280826,31,3163736.02393999,17689,9251288.863731,191.205790463947,-5.2737017888269,1,-5.08283958527312,-0.190862203553787,0.155828524818479,-0.467680338047222,0.13644041268039,-0.673646666054935,0.291922258947361,0.826246434129547,0.509845945748555,1.33899891840755
2021,2,2021Q2,34,10,1,0,1,0.977673476743182,30,3068509.14069345,16627,9403285.77269085,176.821170832523,-5.19771842061711,2,-5.02162724694275,-0.176091173674357,0.158002149282125,-0.468680168560373,0.158630011708406,-0.665609911043235,0.313427563694521,0.83854152693961,0.513959962236082,1.36810635860236
2021,3,2021Q3,35,11,1,0,1,1.39370761392733,43,3085295.62228839,18517,9293596.72412782,199.244711704852,-4.96256623208171,3,-5.0160016448297,0.0534354127479997,0.157954833200874,-0.24014237881091,0.386079824099635,-0.435936730992524,0.542807556488523,1.05488885719485,0.646658638091398,1.7208314178223
2021,4,2021Q4,36,12,1,0,1,2.26263142223524,69,3049546.61735562,22899,9293829.27394243,246.389290410176,-4.69038428438961,4,-5.05241364976534,0.362029365375733,0.157365093464946,0.0667813193300168,0.686591924854255,-0.125515659859001,0.849574390610467,1.43624111710115,0.882041951666284,2.3386512881333
2022,1,2022Q1,37,13,1,0,0,1.02706327429956,32,3115679.51077051,15597,9246020.33149711,168.688791942928,-5.10135200968727,1,-5.20584097439786,0.10448896471059,0.165247299665947,-0.210433826446166,0.443485242920593,-0.407476536098218,0.616454465519397,1.11014314304775,0.665327062383725,1.85234881870046
2022,2,2022Q2,38,14,1,0,0,1.1172394599083,34,3043215.10473598,15999,9185770.22926028,174.1715675517,-5.04917995900076,2,-5.1446286360675,0.0954486770667371,0.161500363588079,-0.190739043696516,0.442584563666619,-0.404908149896977,0.595805504030452,1.10015235753896,0.667038075560807,1.81449193703216
2022,3,2022Q3,39,15,1,0,0,1.79551809934458,53,2951794.24921123,17396,9147481.82316689,190.172556079236,-4.66263823487068,3,-5.13900303395445,0.476364799083772,0.165612618068436,0.15714326725934,0.801879000604602,-0.0367325230574451,0.989462121224989,1.61021031207591,0.963933930971005,2.68978730368355
2022,4,2022Q4,40,16,1,0,0,1.60941871867257,48,2982443.25377239,20327,9101612.89918475,223.334042275306,-4.93279552857747,4,-5.17541503889009,0.242619510312616,0.166642584612661,-0.0758404307875549,0.585561355884244,-0.273668831220121,0.758907851845352,1.27458356594194,0.760583915205011,2.13594218085902
2023,1,2023Q1,41,17,1,0,0,0.398007859091554,12,3015015.84099113,15033,9072209.60686129,165.703843401398,-6.03148564653402,1,-5.32884236352261,-0.702643283011406,0.172818684642668,-1.03220183342907,-0.373939722576396,-1.23806628000478,-0.167220286018037,0.495274421573787,0.289944347379792,0.846013225924146
2023,2,2023Q2,42,18,1,0,0,0.895751786115389,27,3014227.87188525,15413,9029997.11190707,170.686654812727,-5.24992137636729,2,-5.26763002519225,0.0177086488249616,0.181777007861741,-0.322874424968501,0.391582945872515,-0.545468825503477,0.5808861231534,1.01786637661969,0.579570002437722,1.787621782175
2023,3,2023Q3,43,19,1,0,0,0.435223828104099,13,2986968.81019359,16424,9040533.74015756,181.670689718744,-6.03409048385254,3,-5.2620044230792,-0.772086060773335,0.179327053681988,-1.09073648208491,-0.423459480860081,-1.32767314166641,-0.216498979880258,0.462048201647029,0.265093378950584,0.805333356458708
2023,4,2023Q4,44,20,1,0,0,0.53306306419499,16,3001521.03469456,21044,9057464.4787427,232.338752742436,-6.07731199032828,4,-5.29841642801484,-0.77889556231344,0.183751756020567,-1.11012399438951,-0.381868349287676,-1.34819115737455,-0.209599967252328,0.458912571860648,0.259709609841023,0.810908571079329
2024,1,2024Q1,45,21,1,0,0,0.87197685688963,26,2981730.51206231,14814,9019216.45961125,164.24930110435,-5.23837779797276,1,-5.45184375264736,0.213465954674601,0.194604017984979,-0.12870681190535,0.618624888512143,-0.389451876530463,0.816383785879665,1.23796135075361,0.677428086987133,2.2623040517492
2024,2,2024Q2,46,22,1,0,0,1.15355611836765,35,3034095.99608619,15658,8898125.19856447,175.969652601945,-5.02746210381057,2,-5.39063141431699,0.363169310506427,0.185764724124655,0.0346807412159693,0.745315726186388,-0.212362817469928,0.938701438482782,1.43787928670343,0.808671244279876,2.55665928244038
2024,3,2024Q3,47,23,1,0,0,0.901682954822818,27,2994400.62114799,15652,8895845.32417593,175.947303821292,-5.27367685213402,3,-5.38500581220395,0.111328960069927,0.1968629739521,-0.230220196611846,0.524615633504612,-0.498587518165074,0.721245438304928,1.11776254562708,0.607387978582932,2.05699347445371
2024,4,2024Q4,48,24,1,0,0,0.8146761137364,24,2945956.01802136,20092,8760357.79394432,229.351362953335,-5.64021981489067,4,-5.42141781713959,-0.218801997751083,0.186199635433821,-0.565823439560892,0.152949957844924,-0.795681558252233,0.358077562750067,0.803480793408535,0.451273560866184,1.43057657563024
