year,quarter,period,trend_2018q4,focal_rate,control_count,control_population,control_rate,gap,quarter_factor,predicted,focal_age,controls,event_time,dynamic_log_effect,bootstrap_se,simultaneous_ci_lower,simultaneous_ci_upper,simultaneous_critical_value,bootstrap_replications,block_length
2021,1,2021Q1,9,0.979854190280826,17689,9251288.863731,191.205790463947,-5.2737017888269,1,-5.08283958527312,15,17-18-19,7,-0.190862203553787,0.159981104604174,-0.679962023149471,0.298237616041896,3.05723492037273,999,4
2021,2,2021Q2,10,0.977673476743182,16627,9403285.77269085,176.821170832523,-5.19771842061711,2,-5.02162724694275,15,17-18-19,8,-0.176091173674357,0.157631739368633,-0.658008431831236,0.305826084482522,3.05723492037273,999,4
2021,3,2021Q3,11,1.39370761392733,18517,9293596.72412782,199.244711704852,-4.96256623208171,3,-5.0160016448297,15,17-18-19,9,0.0534354127479997,0.161275757939441,-0.43962246623404,0.546493291730039,3.05723492037273,999,4
2021,4,2021Q4,12,2.26263142223524,22899,9293829.27394243,246.389290410176,-4.69038428438961,4,-5.05241364976534,15,17-18-19,10,0.362029365375733,0.156788076368148,-0.117308616795036,0.841367347546502,3.05723492037273,999,4
2022,1,2022Q1,13,1.02706327429956,15597,9246020.33149711,168.688791942928,-5.10135200968727,1,-5.20584097439786,15,17-18-19,11,0.10448896471059,0.165919340838969,-0.402765438067531,0.61174336748871,3.05723492037273,999,4
2022,2,2022Q2,14,1.1172394599083,15999,9185770.22926028,174.1715675517,-5.04917995900076,2,-5.1446286360675,15,17-18-19,12,0.0954486770667371,0.165043965503724,-0.409129497668039,0.600026851801514,3.05723492037273,999,4
2022,3,2022Q3,15,1.79551809934458,17396,9147481.82316689,190.172556079236,-4.66263823487068,3,-5.13900303395445,15,17-18-19,13,0.476364799083772,0.167534336133254,-0.0358270237042752,0.988556621871819,3.05723492037273,999,4
2022,4,2022Q4,16,1.60941871867257,20327,9101612.89918475,223.334042275306,-4.93279552857747,4,-5.17541503889009,15,17-18-19,14,0.242619510312616,0.162702306202873,-0.254799661835984,0.740038682461216,3.05723492037273,999,4
2023,1,2023Q1,17,0.398007859091554,15033,9072209.60686129,165.703843401398,-6.03148564653402,1,-5.32884236352261,15,17-18-19,15,-0.702643283011406,0.179736059750077,-1.25213864132954,-0.153147924693273,3.05723492037273,999,4
2023,2,2023Q2,18,0.895751786115389,15413,9029997.11190707,170.686654812727,-5.24992137636729,2,-5.26763002519225,15,17-18-19,16,0.0177086488249616,0.173236558798531,-0.51191620821911,0.547333505869033,3.05723492037273,999,4
2023,3,2023Q3,19,0.435223828104099,16424,9040533.74015756,181.670689718744,-6.03409048385254,3,-5.2620044230792,15,17-18-19,17,-0.772086060773335,0.184443726413417,-1.33597386200811,-0.208198259538561,3.05723492037273,999,4
2023,4,2023Q4,20,0.53306306419499,21044,9057464.4787427,232.338752742436,-6.07731199032828,4,-5.29841642801484,15,17-18-19,18,-0.77889556231344,0.175304564615268,-1.31484279895598,-0.242948325670904,3.05723492037273,999,4
2024,1,2024Q1,21,0.87197685688963,14814,9019216.45961125,164.24930110435,-5.23837779797276,1,-5.45184375264736,15,17-18-19,19,0.213465954674601,0.194530513932788,-0.381259525598773,0.808191434947975,3.05723492037273,999,4
2024,2,2024Q2,22,1.15355611836765,15658,8898125.19856447,175.969652601945,-5.02746210381057,2,-5.39063141431699,15,17-18-19,20,0.363169310506427,0.18936523511594,-0.215764698994616,0.94210332000747,3.05723492037273,999,4
2024,3,2024Q3,23,0.901682954822818,15652,8895845.32417593,175.947303821292,-5.27367685213402,3,-5.38500581220395,15,17-18-19,21,0.111328960069927,0.18967145791463,-0.468541244464686,0.69119916460454,3.05723492037273,999,4
2024,4,2024Q4,24,0.8146761137364,20092,8760357.79394432,229.351362953335,-5.64021981489067,4,-5.42141781713959,15,17-18-19,22,-0.218801997751083,0.194385688815393,-0.813084713618208,0.375480718116043,3.05723492037273,999,4
2013,1,2013Q1,-23,131.108868741838,24642,6680801.3864218,368.847965606086,-1.03435650464964,1,-1.04779073505128,16,18-19,-24,0.013434230401641,0.0264062277962738,-0.0622409800819891,0.0891094408852712,2.86580919726478,999,4
2013,2,2013Q2,-22,129.346472262085,25532,6735743.96562042,379.052412477621,-1.07517985156814,2,-1.06606854350742,16,18-19,-23,-0.00911130806072258,0.0256637565530352,-0.082658737626775,0.0644361215053299,2.86580919726478,999,4
2013,3,2013Q3,-21,138.502849048471,26188,6768556.28184087,386.906733275734,-1.02729276853438,3,-1.07923563004554,16,18-19,-22,0.0519428615111606,0.0245757234693641,-0.018486472836779,0.1223721958591,2.86580919726478,999,4
2013,4,2013Q4,-20,170.562307337208,35013,6785562.33359388,515.992607225168,-1.10699176940099,4,-1.1317488400355,16,18-19,-21,0.0247570706345175,0.0272962600879728,-0.0534688025765264,0.102982943845561,2.86580919726478,999,4
2014,1,2014Q1,-19,130.95147821679,26148,6744669.66931733,387.683923483336,-1.085363518138,1,-1.10586902795576,16,18-19,-20,0.0205055098177627,0.0297044451688256,-0.0646217623467049,0.10563278198223,2.86580919726478,999,4
2014,2,2014Q2,-18,125.325596148743,25974,6763112.98642444,384.053912039285,-1.11986781870832,2,-1.1241468364119,16,18-19,-19,0.00427901770358075,0.0291336450806775,-0.0792124503184724,0.0877704857256339,2.86580919726478,999,4
2014,3,2014Q3,-17,132.507767277981,26893,6668128.57349093,403.306560508039,-1.11305570413978,3,-1.13731392295002,16,18-19,-18,0.0242582188102394,0.0296425704011462,-0.060691732075934,0.109208169696413,2.86580919726478,999,4
2014,4,2014Q4,-16,167.266209067541,36100,6620942.33697695,545.239607334851,-1.18163873501861,4,-1.18982713293999,16,18-19,-17,0.00818839792137904,0.0300899504802575,-0.0780436589101845,0.0944204547529425,2.86580919726478,999,4
2015,1,2015Q1,-15,119.149026008366,26003,6669606.18215266,389.87309430026,-1.18544625792809,1,-1.16394732086025,16,18-19,-16,-0.0214989370678407,0.0308276516946281,-0.109845104824381,0.0668472306886996,2.86580919726478,999,4
2015,2,2015Q2,-14,117.584233694134,25632,6654802.80037856,385.165432678815,-1.1865179780149,2,-1.18222512931638,16,18-19,-15,-0.00429284869851543,0.0299547668214574,-0.0901374949573699,0.081551797560339,2.86580919726478,999,4
2015,3,2015Q3,-13,118.410819153131,26839,6605575.02500454,406.308306217165,-1.23295215008389,3,-1.1953922158545,16,18-19,-14,-0.0375599342293835,0.029404595705135,-0.121827895043012,0.0467080265842448,2.86580919726478,999,4
2015,4,2015Q4,-12,146.459159296244,34623,6667459.34995215,519.283255926389,-1.26570289332713,4,-1.24790542584447,16,18-19,-13,-0.0177974674826575,0.0295672450932944,-0.102531550408802,0.0669366154434873,2.86580919726478,999,4
2016,1,2016Q1,-11,100.047527303392,23717,6634604.89917411,357.474188145738,-1.27341781242095,1,-1.22202561376473,16,18-19,-12,-0.0513921986562156,0.0307096599161633,-0.13940022448883,0.0366158271763984,2.86580919726478,999,4
2016,2,2016Q2,-10,100.151382599871,24052,6608419.97512568,363.959919171792,-1.29036088210124,2,-1.24030342222087,16,18-19,-11,-0.0500574598803696,0.0306308410560284,-0.137839605898691,0.0377246861379521,2.86580919726478,999,4
2016,3,2016Q3,-9,101.31222459297,24797,6623395.12727279,374.385032502361,-1.30707768541283,3,-1.25347050875899,16,18-19,-10,-0.0536071766538453,0.0302873531963958,-0.140404952004883,0.0331905986971924,2.86580919726478,999,4
2016,4,2016Q4,-8,113.482120537931,29693,6591176.59072428,450.496198839321,-1.37870434315182,4,-1.30598371874895,16,18-19,-9,-0.0727206244028713,0.0309816945047256,-0.161508249461362,0.016067000655619,2.86580919726478,999,4
2017,1,2017Q1,-7,90.7842089358032,21569,6612528.45104846,326.18385175462,-1.27897582475271,1,-1.28010390666921,16,18-19,-8,0.00112808191650937,0.0284534884544084,-0.0804141869904012,0.0826703508234199,2.86580919726478,999,4
2017,2,2017Q2,-6,86.362393413351,20671,6685248.36861433,309.203171822987,-1.27544625518366,2,-1.29838171512535,16,18-19,-7,0.0229354599416858,0.0300272741809742,-0.0631169785749412,0.108987898458313,2.86580919726478,999,4
2017,3,2017Q3,-5,90.0440536591784,22698,6710668.85477126,338.237521344267,-1.32344933888393,3,-1.31154880166347,16,18-19,-6,-0.0119005372204546,0.0298573806978988,-0.0974660934307288,0.0736650189898196,2.86580919726478,999,4
2017,4,2017Q4,-4,109.621470335938,27487,6757065.613347,406.789005359159,-1.31126138411418,4,-1.36406201165344,16,18-19,-5,0.0528006275392532,0.0313566863216102,-0.0370616525169639,0.14266290759547,2.86580919726478,999,4
