year,month,period,trend_2019m02,post_april_2019,partial_march_2019,rate15,control_count,control_population,control_rate,log_rate_gap,month_factor,counterfactual_gap,dynamic_log_effect
2017,12,2017M12,-14,0,0,1.14710384353463,14022,10208086.5418513,137.361688133347,-4.78537713740746,12,-4.69072214683336,-0.0946549905740985
2018,1,2018M01,-13,0,0,0.630686139389037,8226,10196190.1614833,80.6771928506613,-4.85140286096516,1,-4.69856581757162,-0.152837043393534
2018,2,2018M02,-12,0,0,0.819891981205748,7030,10196190.1614833,68.9473213882992,-4.43192543251201,2,-4.6385460743103,0.206620641798294
2018,3,2018M03,-11,0,0,0.662220446358489,8099,10196190.1614833,79.4316295766479,-4.78705342425434,3,-4.78133040061845,-0.0057230236358965
2018,4,2018M04,-10,0,0,0.780883713841279,7554,10081360.4013581,74.9303635547278,-4.56388823044676,4,-4.66786904459496,0.103980814148199
2018,5,2018M05,-9,0,0,0.655942319626674,8386,10081360.4013581,83.1832179997283,-4.84272804204984,5,-4.74158022046673,-0.10114782158311
2018,6,2018M06,-8,0,0,0.874589759502232,7831,10081360.4013581,77.6780086043253,-4.48657253661829,6,-4.53800342271134,0.0514308860930477
2018,7,2018M07,-7,0,0,0.633794428083505,8411,10029871.8954335,83.859495791062,-4.8851733522654,7,-4.79477296242391,-0.0904003898414834
2018,8,2018M08,-6,0,0,0.919001920721082,7287,10029871.8954335,72.6529718023385,-4.37016136154076,8,-4.42719384189857,0.0570324803578091
2018,9,2018M09,-5,0,0,0.823932756508556,8767,10029871.8954335,87.4088930686292,-4.66426338742405,9,-4.71249723224339,0.0482338448193334
2018,10,2018M10,-4,0,0,0.919561663739618,8307,9984489.3978585,83.19904673124,-4.50509406513984,10,-4.56371172699694,0.0586176618570971
2018,11,2018M11,-3,0,0,1.10981580106506,10076,9984489.3978585,100.916527610927,-4.51009965927033,11,-4.63257101721189,0.122471357941563
2018,12,2018M12,-2,0,0,1.04639775528991,12616,9984489.3978585,126.355985742305,-4.79374965046364,12,-4.81026993966389,0.0165202892002547
2019,1,2019M01,-1,0,0,0.581327289761924,7940,9926256.76438384,79.9898711918205,-4.924341375843,1,-4.81811361040215,-0.106227765440852
2019,2,2019M02,0,0,0,0.871990934642886,7172,9926256.76438384,72.2528156407729,-4.41714754821868,2,-4.75809386714083,0.340946318922148
2019,3,2019M03,1,0,1,0.581327289761924,7249,9926256.76438384,73.028536054094,-4.8332916289027,3,-4.90087819344897,0.0675865645462777
2019,4,2019M04,2,1,0,0.699639255003644,6795,9890229.71447446,68.7041676095293,-4.58700028805447,4,-4.78741683742548,0.200416549371016
2019,5,2019M05,3,1,0,0.25441427454678,7982,9890229.71447446,80.7059110903992,-5.75960315875638,5,-4.86112801329726,-0.898475145459126
2019,6,2019M06,4,1,0,0.699639255003644,6786,9890229.71447446,68.6131687120332,-4.5856749068134,6,-4.65755121554186,0.0718763087284655
2019,7,2019M07,5,1,0,0.777709643487116,7948,9821980.8144476,80.9205408781589,-4.6448697297359,7,-4.91432075525444,0.269451025518539
2019,8,2019M08,6,1,0,0.583282232615337,7182,9821980.8144476,73.1217066667008,-4.831209373302,8,-4.54674163472909,-0.284467738572908
2019,9,2019M09,7,1,0,0.648091369572597,7184,9821980.8144476,73.1420691581145,-4.72612729284018,9,-4.83204502507391,0.10591773223373
2019,10,2019M10,8,1,0,0.864131294732605,7506,9705545.86700344,77.337226600707,-4.49420598593263,10,-4.68325951982746,0.189053533894829
