year,uf,sex,age_group,persons_married
2003,SP,female,15,11
2003,SP,female,16,74
2003,SP,female,17,323
2003,SP,female,18,4618
2003,SP,female,19,6312
2003,SP,female,20-24,62380
2003,SP,female,25-29,60206
2003,SP,female,30-34,33458
2003,SP,female,35-39,15260
2003,SP,female,40-44,8153
2003,SP,female,45-49,4642
2003,SP,female,50-54,2845
2003,SP,female,55-59,1654
2003,SP,female,60-64,830
2003,SP,female,65+,850
2003,SP,female,<15,1
2003,SP,female,unknown,41
2003,SP,male,15,0
2003,SP,male,16,3
2003,SP,male,17,3
2003,SP,male,18,98
2003,SP,male,19,479
2003,SP,male,20-24,38510
2003,SP,male,25-29,65939
2003,SP,male,30-34,45757
2003,SP,male,35-39,22086
2003,SP,male,40-44,11439
2003,SP,male,45-49,6225
2003,SP,male,50-54,3802
2003,SP,male,55-59,2484
2003,SP,male,60-64,1682
2003,SP,male,65+,3121
2003,SP,male,<15,0
2003,SP,male,unknown,30
2003,TO,female,15,21
2003,TO,female,16,271
2003,TO,female,17,307
2003,TO,female,18,331
2003,TO,female,19,362
2003,TO,female,20-24,1359
2003,TO,female,25-29,735
2003,TO,female,30-34,370
2003,TO,female,35-39,199
2003,TO,female,40-44,121
2003,TO,female,45-49,82
2003,TO,female,50-54,46
2003,TO,female,55-59,35
2003,TO,female,60-64,16
2003,TO,female,65+,22
2003,TO,female,<15,13
2003,TO,female,unknown,0
2003,TO,male,15,1
2003,TO,male,16,7
2003,TO,male,17,12
2003,TO,male,18,97
2003,TO,male,19,159
2003,TO,male,20-24,1386
2003,TO,male,25-29,1124
2003,TO,male,30-34,638
2003,TO,male,35-39,334
2003,TO,male,40-44,158
2003,TO,male,45-49,108
2003,TO,male,50-54,76
2003,TO,male,55-59,54
2003,TO,male,60-64,50
2003,TO,male,65+,84
2003,TO,male,<15,1
2003,TO,male,unknown,1
2004,AC,female,15,6
2004,AC,female,16,78
2004,AC,female,17,109
2004,AC,female,18,181
2004,AC,female,19,189
2004,AC,female,20-24,942
2004,AC,female,25-29,819
2004,AC,female,30-34,532
2004,AC,female,35-39,346
2004,AC,female,40-44,182
2004,AC,female,45-49,119
2004,AC,female,50-54,89
2004,AC,female,55-59,76
2004,AC,female,60-64,23
2004,AC,female,65+,32
2004,AC,female,<15,3
2004,AC,female,unknown,0
2004,AC,male,15,0
2004,AC,male,16,2
2004,AC,male,17,9
2004,AC,male,18,36
2004,AC,male,19,60
2004,AC,male,20-24,800
2004,AC,male,25-29,843
2004,AC,male,30-34,663
2004,AC,male,35-39,429
2004,AC,male,40-44,291
2004,AC,male,45-49,173
2004,AC,male,50-54,138
2004,AC,male,55-59,93
2004,AC,male,60-64,60
2004,AC,male,65+,129
2004,AC,male,<15,0
2004,AC,male,unknown,0
2004,AL,female,15,138
2004,AL,female,16,651
2004,AL,female,17,694
2004,AL,female,18,818
2004,AL,female,19,862
2004,AL,female,20-24,3829
2004,AL,female,25-29,2374
2004,AL,female,30-34,1170
2004,AL,female,35-39,683
2004,AL,female,40-44,347
2004,AL,female,45-49,223
2004,AL,female,50-54,165
2004,AL,female,55-59,118
2004,AL,female,60-64,56
2004,AL,female,65+,50
2004,AL,female,<15,69
2004,AL,female,unknown,1
2004,AL,male,15,6
2004,AL,male,16,41
2004,AL,male,17,101
2004,AL,male,18,315
2004,AL,male,19,458
2004,AL,male,20-24,4084
