year,cod_mun,distinct_place_names,place_names
2004,5214804,2,Nova Aurora (GO) || Nova Aurora (PR)
2004,5106232,2,Nova Olímpia (MT) || Nova Olímpia (PR)
2004,4212056,2,Palmeira (PR) || Palmeira (SC)
2004,5007307,2,Rio Negro (MS) || Rio Negro (PR)
2004,4320107,2,Sarandi (PR) || Sarandi (RS)
2004,4320909,2,Tapejara (PR) || Tapejara (RS)
2004,4218806,2,Turvo (PR) || Turvo (SC)
2004,5215009,2,Nova Veneza (GO) || Nova Veneza (SC)
2004,4319109,2,São Martinho (RS) || São Martinho (SC)
2005,2109239,2,Presidente Médici (MA) || Presidente Médici (RO)
2005,4128625,2,Alto Paraíso (PR) || Alto Paraíso (RO)
2005,3109303,2,Buritis (MG) || Buritis (RO)
2005,3136603,2,Nova União (MG) || Nova União (RO)
2005,4306205,3,Cruzeiro do Sul (AC) || Cruzeiro do Sul (PR) || Cruzeiro do Sul (RS)
