path,sheet,row_number,row_text
notes/data_structure.xlsx,Plan1,154,PNS | 2019 | VDC003 | Total de moradores com 15 anos ou mais
notes/data_structure.xlsx,Plan1,155,PNS | 2013 | VDC002 | Total de moradores com 18 anos ou mais
notes/data_structure.xlsx,Plan1,156,"PNS | 2013, 2019 | VDD004A | Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) padronizado para o Ensino Fundamental -  SISTEMA DE 9 ANOS"
notes/data_structure.xlsx,Plan1,157,"PNS | 2013, 2019 | VDE001 | Condição em relação à força de trabalho na semana de referência para pessoas de 14 anos ou mais de idade"
notes/data_structure.xlsx,Plan1,158,"PNS | 2013, 2019 | VDE002 | Condição de ocupação na semana de referência para pessoas de 14 anos ou mais de idade"
notes/data_structure.xlsx,Plan1,159,"PNS | 2013, 2019 | VDF002 | Rendimento domiciliar 
(exclusive o rendimento das pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico)"
notes/data_structure.xlsx,Plan1,160,"PNS | 2013, 2019 | VDDATA | Data de geração do arquivo de microdados. Data ordenada na forma: ano (4 algarismos), mês (2) e dia (2) -  AAAAMMDD"
notes/data_structure.xlsx,Plan1,161,POF | 2017-2018 | UF | Unidade da Federação
notes/data_structure.xlsx,Plan1,162,"POF | 2017-2018 | ESTRATO_POF | Identifica os estratos do plano amostral da pesquisa: estratificações Geográfica e Estatística. No nível geográfico, a estratificação compreende: área urbana para o município da capital, resto da região metropolitana, resto da UF e área rural. A estratificação estatística foi realizada a partir das definições implementadas na Amostra Mestra, que utiliza informações da variável renda total do domicílio, obtida a partir dos dados do Censo 2010."
notes/data_structure.xlsx,Plan1,163,POF | 2017-2018 | TIPO_SITUACAO_REG | Situação do Domicílio
notes/data_structure.xlsx,Plan1,164,POF | 2017-2018 | COD_UPA | Código da Unidade Primária de Amostragem: UF (2) + Número Sequencial (6) + DV (1). As 2 primeiras posições representam o código da Unidade da Federação
notes/data_structure.xlsx,Plan1,165,POF | 2017-2018 | NUM_DOM | Número do Domicílio. Corresponde a um código atribuído sequencialmente a cada domicílio selecionado em cada UPA.
notes/data_structure.xlsx,Plan1,166,POF | 2017-2018 | NUM_UC | Número da unidade de consumo (UC) pertencente ao domicílio pesquisado. Este número varia de 1 até o número total de unidades de consumo do domicílio.
notes/data_structure.xlsx,Plan1,168,POF | 2017-2018 | V0306 | Condição na Unidade de Consumo. Identifica o grau de parentesco ou a natureza da subordinação existente entre o morador e a pessoa de referência da sua unidade de consumo.
notes/data_structure.xlsx,Plan1,170,POF | 2017-2018 | V04021 | Dia de Nascimento
notes/data_structure.xlsx,Plan1,171,POF | 2017-2018 | V04022 | Mês de Nascimento
notes/data_structure.xlsx,Plan1,172,POF | 2017-2018 | V04023 | Ano de Nascimento
notes/data_structure.xlsx,Plan1,173,POF | 2017-2018 | V0403 | Idade em anos
notes/data_structure.xlsx,Plan1,174,POF | 2017-2018 | V0404 | Sexo
notes/data_structure.xlsx,Plan1,175,POF | 2017-2018 | V0405 | Cor ou raça
notes/data_structure.xlsx,Plan1,178,"POF | 2017-2018 | PESO | Identifica o fator de expansão atribuído ao domicílio pertencente a uma UPA (unidade primária de amostragem). A cada domicílio corresponde um fator de expansão, o qual é também atribuído para as unidades de consumo do respectivo domicílio."
notes/data_structure.xlsx,Plan1,179,"POF | 2017-2018 | PESO_FINAL | Identifica o fator de expansão (peso) ajustado às estimativas populacionais para 15 janeiro de 2018, segundo cada Unidade da Federação e pós estratos definidos. Este fator ajustado é atribuído a cada domicílio de uma UPA (unidade primária de amostragem) da amostra selecionada e também deve ser aplicado para cada Unidade de Consumo existente no Domicílio. Nesta pesquisa, os domicílios pertencentes à uma mesma UPA tem o mesmo fator de expansão ajustado (peso final). Este fator deve ser utilizado para efeito do cálculo das estimativas pontuais a partir dos dados da pesquisa."
notes/data_structure.xlsx,Plan1,180,"POF | 2017-2018 | RENDA_TOTAL | Valor em reais (R$), considerando os centavos, do rendimento bruto total mensal da Unidade de Consumo. O rendimento total é obtido através do somatório dos rendimentos brutos monetários mensais de todos os moradores da Unidade de Consumo, obtidos através do trabalho, transferências e outras rendas, mais a parcela relativa aos rendimentos não monetários mensais do domicílio, acrescido da variação patrimonial, que compreende vendas de imóveis, recebimentos de heranças e o saldo positivo da movimentação financeira."
notes/data_structure.xlsx,Plan1,181,"POF | 2017-2018 | NIVEL_INSTRUCAO | Nível de Instrução da pessoa. Variável derivada, construída a partir dos quesitos referentes a educação."
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,1,"Dicionário das variáveis da PNAD contínua – 1ª visita com parte de características adicionais do mercado de trabalho, habitação, características gerais dos moradores e rendimentos de outras fontes – 2022"
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,5,1 | 4 | Ano | Ano de referência | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,6,5 | 1 | Trimestre | Trimestre de referência | 1 a 4 | Número do trimestre (1 a 4) | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,7,6 | 2 | UF | Unidade da Federação | 11 | Rondônia | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,45,25 | Município de João Pessoa (PB)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,61,"10 | 2 | RM_RIDE | Região Metropolitana e Região Administrativa Integrada
de Desenvolvimento | 13 | Região Metropolitana de Manaus (AM) | 1º tri/2022 - 4º tri/2022"
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,62,15 | Região Metropolitana de Belém (PA)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,63,16 | Região Metropolitana de Macapá (AP)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,64,"21 | Região Metropolitana de Grande São
Luís (MA)"
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,65,"22 | Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)"
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,66,23 | Região Metropolitana de Fortaleza (CE)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,67,24 | Região Metropolitana de Natal (RN)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,68,25 | Região Metropolitana de João Pessoa (PB)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,69,26 | Região Metropolitana de Recife (PE)
