year,query_type,relative_path,official_url,size_bytes,rows,zero_symbols,missing_symbols,sha256,status,acquired_this_run,acquired_or_checked_at
2015,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2015.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2015/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190258,567,308,0,23422569bdedabe6d35d4fa199f1a49dc1c41e5a94e854164156320baea5e3d7,used,FALSE,2026-09-02T02:44:07-0300
2016,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2016.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2016/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190246,567,339,0,dfcdb315be347b389066fc00eb88b05bacee4d520b9e4217f30a61c847c482be,used,FALSE,2026-09-02T02:44:07-0300
2017,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2017.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2017/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190237,567,348,0,97f41e1f2189923233fd0c804b83f06beafd0af31b0a729dd34c0ec839f97dd2,used,FALSE,2026-09-02T02:44:07-0300
2018,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2018.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2018/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190227,567,340,0,ed4adbec79fcc51771d2897c4be66682108a487faf4fa4da475da79a8f008b5f,used,FALSE,2026-09-02T02:44:07-0300
2019,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2019.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2019/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190218,567,341,0,bf7e2d3d2ee8d5e3d0b0e9cd788703ad46091328d95a7fd3660e3bebe5b915fa,used,FALSE,2026-09-02T02:44:08-0300
2020,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2020.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2020/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190205,567,355,0,7d8f82b9ae5d5e96d7d322a8b4870e93e60de49c02ae28889d6611f4724ee412,used,FALSE,2026-09-02T02:44:08-0300
2021,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2021.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2021/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190209,567,72,0,33ea9ee8d59552fc4c6e479409b15465b7937f9c14197012fcf9e5e2e56f8b52,used,FALSE,2026-09-02T02:44:08-0300
2022,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2022.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2022/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190209,567,345,0,9948d5df81f1703f1fff3851fc6cc67ada5fd7b17bd75803a6070a6156e48c4a,used,FALSE,2026-09-02T02:44:08-0300
2023,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2023.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2023/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190201,567,360,0,9725d22634825401b17e35774aff9624825c3d95a09bcfda5483991148855804,used,FALSE,2026-09-02T02:44:08-0300
2024,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2024.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2024/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190200,567,346,0,e9cf369185bfd9139827ae91091db42cc80d90ebcfba75ae764b0317e4923f41,used,FALSE,2026-09-02T02:44:08-0300
2013,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2013.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2013/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1635156,4860,3278,0,136202fb28f43a70c7ac6058e58e195437fe0095524bf9dfaedf97938a2f02c6,used,FALSE,2026-09-02T02:44:07-0300
2014,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2014.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2014/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1635165,4860,3203,0,87a44914b6334c6fffd9be6ed4479f49af067544599d97325dd9814d7455d288,used,FALSE,2026-09-02T02:44:07-0300
2015,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2015.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2015/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1635139,4860,3208,0,d32805736e2f78623f68fecbeb1bb12661875c2994b2bac7fe6639e6456576c0,used,FALSE,2026-09-02T02:44:07-0300
2016,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2016.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2016/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1635066,4860,3289,0,299f3d8f546da7e42a77302175538a13352a912c6d6ab1af8d65122ed76e454c,used,FALSE,2026-09-02T02:44:07-0300
