draw,beta
217,-0.0193273133222107
218,-0.0135371505944594
219,-0.0157368175712245
220,-0.0120682679604499
221,-0.0017269137810815
222,-0.0305351998172349
223,-0.0102709419697915
224,-0.0227488521143159
225,-0.0189142473755912
226,-0.000204740029943141
227,-0.0210809827851151
228,-0.00184472649241869
229,-0.00388888294774791
230,-0.0161873459457209
231,-0.00358534836373855
232,-0.00531303998335861
233,-0.00852446860634534
234,-0.0177452248062225
235,-0.00822392480550866
236,-0.00565737308300722
237,0.0129112523413538
238,-0.0129967339896614
239,0.00437873604946995
240,-0.0389756010283759
241,-0.00511192947462995
242,-0.0238715704795948
243,-0.0156203022156152
244,0.00263035680414361
245,0.00569346709212566
246,-0.00735910655195874
247,-0.0218924367419186
248,-0.0116369514330973
249,-0.0298306321300018
250,0.00317641876897979
251,-0.0059182969117364
252,-0.00546822393053724
253,-0.00207565110551373
254,0.0178024708210577
255,0.00355663157362375
256,-0.0130242973989589
257,-0.00493617507836837
258,0.0146906396066475
259,-0.0311526247430605
260,-0.016855303471094
261,0.00663245926690678
262,-0.00412649506497021
263,0.00050515858642616
264,-0.022601381520892
265,-0.0267636179185923
266,-0.0153355188639147
267,-0.0309009752058312
268,-0.016362692320657
269,-0.0139798776941961
270,-0.0251002113178938
271,-0.0119727737649379
272,-0.0131687958520359
273,-0.0186895862863092
274,-0.0360873762315377
275,-0.0169254164980243
276,-0.0273349298768409
277,-0.00514535998088004
278,-0.0100208258410091
279,-0.00601251184585144
280,-0.0352849590520772
281,-0.0305231697229578
282,-0.0170292448636363
283,-0.00722470641959414
284,2.44672892095888e-06
285,0.00361276810910309
286,-0.0241281583130555
287,0.00133106241878527
288,0.0130727170622746
289,-0.0084282425720307
290,-0.0107975189314639
291,-0.00831999056256225
292,-0.0211267442644467
293,0.00983924490451855
294,-0.0118699565532176
295,-0.0380166584339049
296,0.00717669302566476
297,0.00937877063563012
298,-0.0170950124669838
299,-0.0347911627032599
300,-0.0104340996555282
301,-0.0149495020908311
302,0.00433818451267675
303,0.00938530165045566
304,0.00193288734037965
305,-0.0203561966273922
306,-0.00145575208423879
307,-0.00884751628430394
308,-0.00791484814276059
309,0.00888267362789317
310,-0.0170148894367545
311,0.0268375673053936
312,-0.027562040487963
313,0.00261415603910068
314,-0.0248493521444896
315,-0.00355976735450878
316,-0.0121842450345922
317,-0.0175503881894467
318,-0.016256207998446
319,-0.0184912743922483
320,0.00239535491400544
321,-0.0164410505533895
322,0.00013419272413623
323,-0.0100852598351349
324,-0.00179094895311283
325,-0.0139421795696993
326,0.0177295703879147
327,-0.0306670656441473
328,-0.029195890534654
329,-0.00185765613708435
330,-0.00121397291284868
331,-0.00949609517507255
332,-0.0260565461302958
333,-0.0268052297080194
334,-0.010299280904356
335,-0.0216355416644505
336,0.00356231380757358
337,-0.0177861468302714
338,-0.0228373886673885
339,-0.0210292968742908
340,-0.0119782981479096
341,-0.00346936515240273
342,0.00679058924719905
343,-0.0212069429085909
344,-0.00739899902001228
345,0.00360917307395495
346,-0.0166553401276494
347,0.00823123346911214
348,-0.00691294068012761
349,-0.0235719540273655
350,-0.0319418318655863
351,0.0100236096451416
352,0.00273249833048784
353,0.0182694906998707
354,-0.0050391165041671
355,-0.0127515010427084
356,-0.0158853570127084
357,-0.01488427614405
358,-0.0157822246599267
359,0.00445267567862475
360,-0.0186294459048718
361,-0.00931173755429908
362,-0.0257216332866145
363,-0.00692271990603966
364,-0.00884717449035247
365,-0.0183877283817728
366,-0.031689133539238
367,-0.0166497296060873
368,-0.00476217312977699
369,-0.00476340204902295
370,0.00669406386056995
371,-0.0220800473522123
372,-0.0155022058172285
373,-0.000422966268641997
374,-0.00558483071793379
375,0.00750402536939506
376,-0.0143207934985853
377,-0.00844044940116883
378,-0.00797594276706714
379,0.00195795554762873
380,-0.00682365362573086
381,-0.0131238514913782
382,-0.00878664031898886
383,-0.0227057265713767
384,0.00275799510883556
385,-0.0268383569207805
386,-0.00995672728175044
387,-0.0233915058566215
388,-0.016629968456636
389,0.00253228664558439
390,-0.00684092590356104
391,-0.0263718602096253
392,-0.00610005929784138
393,-0.0122233301788055
394,-0.00966598166425442
395,-0.0244717348426256
396,0.00480483054852165
397,0.00527561167089249
398,-0.00143998361205961
399,-0.0150676221682808
400,0.00469613585243736
401,0.0104255681969553
402,-0.0326466506293896
403,-0.014442686581798
404,-0.031655982753421
405,-0.00595093992754858
406,-0.0221825938273074
407,-0.00600214280708529
408,-0.0178042140685845
409,-0.00792512728124116
410,0.00320297325424485
411,0.00388187410794824
412,-0.00404211111784064
413,0.0118475566200365
414,0.00495914173089128
